"filename", "language", "Python", "CSV", "comment", "blank", "total"
"/home/gaurav/Documents/LearningMaterial/LearningMaterialCode/code/spark/dataframe_basics/df_code/0001_spark_df_basic.py", "Python", 40, 0, 0, 21, 61
"/home/gaurav/Documents/LearningMaterial/LearningMaterialCode/code/spark/dataframe_basics/df_code/0002_spark_df_select.py", "Python", 24, 0, 2, 12, 38
"/home/gaurav/Documents/LearningMaterial/LearningMaterialCode/code/spark/dataframe_basics/df_code/Department.csv", "CSV", 0, 4, 0, 1, 5
"/home/gaurav/Documents/LearningMaterial/LearningMaterialCode/code/spark/dataframe_basics/df_code/Designation.csv", "CSV", 0, 5, 0, 1, 6
"/home/gaurav/Documents/LearningMaterial/LearningMaterialCode/code/spark/dataframe_basics/df_code/Employees.csv", "CSV", 0, 11, 0, 1, 12
"Total", "-", 64, 20, 2, 36, 122
